incompatible;3;2;2;0
ii;3;0;0;4
garantir;4;0;3;0
février;1;0;1;5
formuler;2;1;1;3
fonctionnaire;0;0;0;7
extérieur;0;0;7;0
extension;2;0;4;0
exploitation;0;0;7;0
emploi;0;0;6;0
déficit;0;0;5;0
débouché;0;1;6;0
diriger;2;4;0;1
directeur;2;0;1;4
différence;0;1;6;0
destinée;3;2;1;1
correspondant;2;1;4;0
contractuel;3;0;0;3
contingent;0;0;7;0
consister;4;3;0;0
considération;1;0;1;5
confiance;1;4;0;2
compléter;2;3;1;1
complètement;1;5;0;1
communiquer;0;0;0;7
commandement;0;7;0;0
collectif;5;2;0;0
choisir;7;0;0;0
but;2;4;0;1
avantage;0;4;3;0
auprès_de;1;1;0;5
associer;6;1;0;0
arrangement;1;4;1;1
aron;1;2;2;2
appliquer;4;0;2;1
admettre;3;1;0;3
acquérir;1;0;4;2
acheson;1;2;0;4
acceptation;4;1;1;1
évidemment;1;4;1;0
éventuellement;1;1;1;3
user;1;2;2;1
unification;0;5;1;0
ultérieurement;4;0;1;1
tendre;1;3;2;0
susceptible;0;4;2;0
surplus;1;3;1;1
subsister;3;0;2;1
subordonné;5;0;0;1
stabilité;0;3;3;0
société;2;3;0;1
secteur;1;1;4;0
secrétariat;3;0;0;3
scs;2;2;2;0
réellement;0;3;1;2
retard;2;0;4;0
restrictif;2;0;4;0
représentation;3;2;1;0
renoncer;2;4;0;0
relever;2;1;3;0
reconstituer;2;4;0;0
quantité;1;0;4;1
publier;1;1;0;4
prévenir;1;1;1;2
précéder;1;1;2;2
progressivement;4;0;2;0
porte;1;0;3;2
population;2;0;4;0
phase;1;2;3;0
persuader;1;3;1;1
perdre;0;5;1;0
partager;2;2;0;2
parer;3;2;1;0
p;0;1;0;4
opposé;1;4;1;0
officiellement;0;1;0;4
naître;1;4;0;1
meilleur;0;0;4;2
maximum;0;0;4;2
majorité;4;2;0;0
majeur;1;4;1;0
main;0;1;3;2
lucien;0;0;0;6
lisbonne;4;0;1;1
