"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"petit";-1,13614109147244;0,611573189965093;-1,45560064647734;-0,584088955171898;0,314409141803775;-0,748322780621046;0,450479724361082;0,098614837493645;0,450905438145274;0,000164316618118411;4,76117155366504e-05;0,000269712722284371;0,00012729664361183;1,02022249881466;0,00013249721395438
"pensée";-0,772272522122754;2,25615587662247;-2,03355122708012;-0,246417289013232;0,71989589009385;-0,648867033452427;0,0856433011698595;0,552236501788085;0,362120197042056;7,59203354384317e-05;0,000647970383114286;0,000526413704734468;0,00012729664361183;1,59046507422009;0,00032200693584002
"payer";-1,86387823017182;-2,67759218334967;-0,299699485271783;-0,568917971278748;-0,817290683588647;-0,0914783060363283;0,388361846543061;0,605515160502604;0,00612299295433639;0,000442233893610784;0,000912653273688027;1,14337567113555e-05;0,00012729664361183;1,80260059761806;0,000413633756676666
"pacte";-0,440437781560277;1,79088960203011;-0,267840012315096;-0,236336932680655;0,960983305778342;-0,143721745976135;0,0729039138764353;0,910655287730317;0,0164407983932471;2,46936953484625e-05;0,000408276687740427;9,13204126918368e-06;0,00012729664361183;0,98312648936113;0,000123037004381152
"ouvert";-0,440437781560277;1,79088960203011;-0,267840012315096;-0,236336932680655;0,960983305778342;-0,143721745976135;0,0729039138764353;0,910655287730317;0,0164407983932471;2,46936953484625e-05;0,000408276687740427;9,13204126918368e-06;0,00012729664361183;0,98312648936113;0,000123037004381152
"ottawa";-0,1086030409978;1,32562332743774;1,49787120244993;-0,0542155893514434;0,66176277657376;0,747750424548634;0,00435613959733513;0,490334853973115;0,50530900642955;1,50141560410361e-06;0,00022369549025083;0,000285605058657716;0,00012729664361183;0,991725191679111;0,000125198649273684
"organique";-0,440437781560277;1,79088960203011;-0,267840012315096;-0,236336932680655;0,960983305778342;-0,143721745976135;0,0729039138764353;0,910655287730317;0,0164407983932471;2,46936953484625e-05;0,000408276687740427;9,13204126918368e-06;0,00012729664361183;0,98312648936113;0,000123037004381152
"organe";-1,13614109147244;0,611573189965093;-1,45560064647734;-0,584088955171898;0,314409141803775;-0,748322780621046;0,450479724361082;0,098614837493645;0,450905438145274;0,000164316618118411;4,76117155366504e-05;0,000269712722284371;0,00012729664361183;1,02022249881466;0,00013249721395438
"ordinaire";-1,86387823017182;-2,67759218334967;-0,299699485271783;-0,568917971278748;-0,817290683588647;-0,0914783060363283;0,388361846543061;0,605515160502604;0,00612299295433639;0,000442233893610784;0,000912653273688027;1,14337567113555e-05;0,00012729664361183;1,80260059761806;0,000413633756676666
"offshore";-1,86387823017182;-2,67759218334967;-0,299699485271783;-0,568917971278748;-0,817290683588647;-0,0914783060363283;0,388361846543061;0,605515160502604;0,00612299295433639;0,000442233893610784;0,000912653273688027;1,14337567113555e-05;0,00012729664361183;1,80260059761806;0,000413633756676666
"officiel";2,94502756157326;-1,23420761469535;-1,31053015152826;0,853221061172595;-0,357569465378827;-0,379681311365481;0,797802306398371;0,105858972920319;0,0963387206813106;0,00110406763759827;0,000193906959244534;0,000218630620536938;0,00012729664361183;1,98720180670701;0,000502690756640165
"office";0,223231699564676;0,860357052845372;3,26358241721496;0,0659969025640622;0,254358591085711;0,9648554896941;0,0070146267216508;0,0787199759561513;0,914265397322199;6,34349620535502e-06;9,42267906454925e-05;0,00135583275690006;0,00012729664361183;1,60640052212896;0,000328491870517614
"négociateur";-0,804306350909967;0,146306915372726;0,310110568287683;-0,919893576596979;0,167332747666136;0,354676696858025;0,896337204133194;0,0224074691784384;0,0812553266883686;8,23493070115977e-05;2,72487548086926e-06;1,22419354899279e-05;0,00012729664361183;0,512018956283534;3,33725223737021e-05
"nécessairement";-0,772272522122754;2,25615587662247;-2,03355122708012;-0,246417289013232;0,71989589009385;-0,648867033452427;0,0856433011698595;0,552236501788085;0,362120197042056;7,59203354384317e-05;0,000647970383114286;0,000526413704734468;0,00012729664361183;1,59046507422009;0,00032200693584002
"novembre";2,94502756157326;-1,23420761469535;-1,31053015152826;0,853221061172595;-0,357569465378827;-0,379681311365481;0,797802306398371;0,105858972920319;0,0963387206813106;0,00110406763759827;0,000193906959244534;0,000218630620536938;0,00012729664361183;1,98720180670701;0,000502690756640165
