"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"action";0,033;0,855;0,255;0,413;0,002;0,391
"tenir";0,038;0,109;0,733;0,157;0;0,39
"prévoir";0,041;0,363;0,568;0,593;0,01;0,913
"aller";0,828;0,335;0,643;0,665;0,688;0,45
"temps";0,021;0,238;0,57;0,008;0,19;0,837
"sidérurgie";0,091;0,019;0,035;0,091;0,662;0,173
"réalisation";0,164;0,069;0,054;0,022;0,002;0,391
"ruhr";0,159;0,228;0;0,665;0,483;0,257
"modernisation";0,475;0,702;0,148;0,11;0;0,797
"financement";0,563;0,198;0,173;0,563;0;0,225
"situation";0,376;0,238;0,85;0,86;0,513;0,304
"seulement";0,027;0,608;0,045;0,005;0,138;0,345
"jour";0,06;0,417;0,197;0,888;0,835;0,624
"agir";0,024;0,292;0,417;0,754;0,008;0,4
"rendre";0,074;0,554;0,968;0,79;0,004;0,233
"relatif";0,024;0,735;0;0,024;0,39;0,4
"parlement";0,021;0,238;0,85;0,216;1;0,024
"indispensable";0,135;0,058;0,645;0,44;0;0,463
"dernier";0,32;0,78;0,942;0,32;0,015;0,266
"apporter";0,074;0,091;0,49;0,79;0,325;0,047
"venir";0,937;0,598;0,933;0,179;0,242;0,013
"objet";0,011;0,118;0,881;0,594;0,146;0,769
"soumettre";0,017;0,78;0,021;0,765;0,253;0,266
"réponse";0,283;0,863;0,086;0,062;0,022;0,132
"proposition";0,32;0,205;0,157;0,001;0,253;0,266
"problème";0,021;0,049;0,186;0,596;0,05;0,304
"particulier";0,027;0,608;0,756;0,502;0,138;0,345
"lieu";0,017;0,621;0,119;0,074;0,886;0,762
"fédéral";0,23;0,304;0,199;0,034;0,732;0,334
"forme";0,014;0,176;0,968;0,02;0,024;0,233
"difficulté";0,027;0,772;0,756;0,502;0,138;0,916
"sarre";0,132;0,797;0;0,563;0,086;0,225
"nouveau";0,091;0,041;0,031;0;0,015;0,266
"militaire";0,091;0,148;0,126;0,01;0,005;0,173
"comprendre";0,021;0,694;0,57;0,008;0,513;0,537
"relation";0,683;0,094;0,476;0,715;0,176;0,499
"recommandation";0,132;0,198;0,536;0,728;0,086;0,893
"poursuivre";0,005;0,63;0,817;0,017;0,109;0,023
"contribution";0,135;0,772;0,045;0,005;0,031;0,075
"année";0,041;0,363;0,065;0,826;0;0,443
"affaire";0,32;0,205;0,502;0,692;0,617;0,034
"investissement";0,132;0,797;0,71;0,132;0;0,225
"intérêt";0,062;0,29;0,388;0,188;0,512;0,563
"important";0,593;0,442;0,814;0,593;0,063;0,1
"financier";0,401;0,148;0,535;0,401;0;0,173
"conséquence";0,017;0,041;0,119;0,074;0,074;0,266
"charger";0,033;0,524;0,726;0,164;0;0,391
"caisse";0,334;0,409;0,382;0,334;0;0,437
"application";0,033;0,855;0,044;0,935;0,705;0,391
"réaliser";0,11;0,171;0,148;0,29;0,002;0,797
"objectif";0,05;0,094;0,908;0,254;0;0,115
"également";0,376;0,694;0,57;0,216;0,19;0,304
"service";0,021;0,238;0,85;0,86;0,05;0,304
"raison";0,091;0,293;0,415;0,765;0,886;0,613
"exécution";0,05;0,094;0,077;0,715;0;0,822
"aide";0,05;0,962;0,346;0,715;0;0,115
"étranger";0,033;0,855;0,054;0,512;0,096;0,001
"terme";0,021;0,238;0,089;0,376;0,19;0,15
"statut";0,05;0,094;0,001;0,007;0,026;0,822
"obtenir";0,033;0,855;0,255;0,022;0,096;0,391
"observation";0,863;0,171;0,001;0,11;0,524;0,198
"besoin";0,075;0,128;0,107;0,132;0,001;0,633
"période";0,191;0,263;0,304;0,785;0,019;0,293
"public";0,091;0,163;0,535;0,991;0,044;0,173
"penser";0,593;0,363;0,814;0,826;0,245;0,913
"indiquer";0,512;0,069;0,255;0,413;0;0,086
"fixer";0,062;0,475;0,091;0,188;0,002;0,563
"fin";0,27;0,035;0,968;0,676;0,024;0,233
"compte";0,05;0,094;0,476;0,683;0;0,499
"texte";0,32;0,205;0,021;0,765;0,617;0,762
"technique";0,091;0,617;0,035;0,388;0,662;0,173
"prochain";0,017;0,205;0,021;0,32;0,015;0,762
"participer";0,033;0,145;0,726;0,022;0,762;0,086
"ordre";0,05;0,416;0,123;0,683;0,176;0,822
"oeuvre";0,062;0,11;0,991;0,004;0,12;0,132
"niveau";0,132;0,198;0,173;0,203;0,001;0,225
"convenir";0,197;0,363;0;0,197;0,352;0,913
"conclusion";0,05;0,416;0,123;0,056;0,524;0,115
"chancelier";0,665;0,904;0,418;0,013;0,109;0,257
"trouver";0,401;0,617;0,126;0,086;0,044;0,173
"principe";0,062;0,863;0,001;0,188;0,164;0,132
"ouest";0,563;0,198;0,536;0,002;0,391;0,225
"note";0,593;0,944;0,168;0,826;0,642;0,1
"intéresser";0,041;0,442;0,029;0,593;0,245;0,1
"informer";0,021;0,238;0,85;0,376;0,513;0,15
"hallstein";0,563;0,797;0,108;0,028;0,086;0,225
